,ts_code,acc_rate,chairman,reg_capital,setup_date,province,city,main_business,website
89,002821.SZ,12.961,HAO HONG,23131.9762,19981007,天津,天津市,"主营业务:从事服务于创新药和重磅药物的医药外包服务,主要提供从临床Ⅰ期,Ⅱ期,Ⅲ期至上市后不同阶段的一站式服务,为临床新药提供工艺研发和制备.主要产品覆盖面为创新药和重磅药物.",www.asymchem.com.cn
90,000672.SZ,12.835,俞锋,81361.9871,19970306,甘肃,白银市,主营业务变更为水泥及水泥制品的生产和销售.,www.sfsn.cn
91,002690.SZ,12.797,田明,67600.0,20000303,安徽,合肥市,"主要产品:按产品应用领域划分,发行人产品可以分为食品检测与分级专用设备,工业检测与分级专用设备两大类;按产品技术原理划分,发行人产品可分为可见光检测与分级专用设备,X射线检测与分级专用设备两大类.可见光检测与分级专用设备主要包括各类色选机,X射线检测与分级专用设备则包括食品X射线检测机,工业X射线检测机和X射线轮胎检测设备.主营业务:光电检测与分级专用设备及其应用软件的研发,生产和销售.",www.chinameyer.com
92,002022.SZ,12.725,胡勇敏,51467.1493,19811122,上海,上海市,"主要产品:体外临床诊断试剂,医疗仪器",www.skhb.com
93,000037.SZ,12.247,李新威,60276.2596,19900406,广东,深圳市,"主要业务:生产经营供电供热,从事发电厂(站)的相关技术咨询和技术服务.",www.nsrd.com.cn
94,000977.SZ,12.063,张磊,144111.9079,19981028,山东,济南市,"主要产品:服务器及微型计算机,软件及系统集成.",www.inspur.com
95,300226.SZ,11.93,朱军红,15910.885,20000430,上海,上海市,主营业务是以钢铁及相关行业信息服务为基础的B2B电子商务服务.,www.mysteel.com
96,000860.SZ,11.884,李颖林,74176.6989,19980921,北京,北京市,"主要业务:白酒的生产和销售;肉类产品的生产和销售;果蔬饮料的生产和销售;种畜产品,农作物种子,蔬菜种子的繁育和销售.",www.000860.com
97,300383.SZ,11.857,耿殿根,154313.9921,19990127,北京,北京市,"公司主营业务为向客户提供宽带接入服务,IDC及其增值服务以及其他互联网综合服务.宽带接入服务和IDC及其增值服务是公司的核心业务.宽带接入服务,主要指通过电话线,电缆,光纤等各种传输手段向用户提供将计算机或者其他终端设备接入互联网的服务.",www.sinnet.com.cn
98,002916.SZ,11.762,杨之诚,47510.4,19840703,广东,深圳市,"主营业务为印制电路板生产销售,目前,PCB产品为公司的主要产品.",www.scc.com.cn
99,002273.SZ,11.673,林敏,121768.8332,20020802,浙江,台州市,"主要产品:光学低通滤波器,红外截止滤光片,红外截止滤光片组立件,投影机散热板及光学窗口片等.",www.crystal-optech.com
